                       chr   start     end  length  tp1007 tp1012 tp1013 tp1014 tp1015     IT tp1335 pattern
Chr19b_31:151677 Chr19b_31  151677  151700      24 0.60542 0.5981     NA     NA     NA     NA     NA     140
Chr19b_31:151701 Chr19b_31  151701  151700       0      NA     NA     NA     NA     NA     NA     NA     000
Chr19c_29:1      Chr19c_29       1   17700   17700      NA     NA     NA     NA     NA     NA     NA     000
Chr19c_29:17701  Chr19c_29   17701   18600     900 0.19709     NA     NA     NA     NA     NA     NA     100
Chr19c_29:18601  Chr19c_29   18601   74800   56200      NA     NA     NA     NA     NA     NA     NA     000
Chr19c_29:74801  Chr19c_29   74801   75400     600 0.12229 0.1181     NA     NA     NA 0.1779     NA     142
Chr19c_29:75401  Chr19c_29   75401  117700   42300      NA     NA     NA     NA     NA     NA     NA     000
Chr19c_29:117701 Chr19c_29  117701  203100   85400 0.61260 0.6400     NA     NA     NA     NA     NA     140
Chr19c_29:203101 Chr19c_29  203101  212100    9000      NA 0.6400     NA     NA     NA     NA     NA     040
Chr19c_29:212101 Chr19c_29  212101  215200    3100      NA 0.6400     NA 0.7139     NA     NA     NA     050
Chr19c_29:215201 Chr19c_29  215201  216500    1300      NA     NA     NA 0.7139     NA     NA     NA     010
Chr19c_29:216501 Chr19c_29  216501  291193   74693      NA     NA     NA     NA     NA     NA     NA     000
Chr19c_29:291194 Chr19c_29  291194  291193       0      NA     NA     NA     NA     NA     NA     NA     000
Chr2:1                Chr2       1     400     400      NA     NA 0.1248     NA     NA     NA     NA     020
Chr2:401              Chr2     401   13900   13500      NA     NA     NA     NA     NA     NA     NA     000
Chr2:13901            Chr2   13901   15800    1900      NA     NA     NA     NA     NA 0.2917     NA     002
Chr2:15801            Chr2   15801  268800  253000      NA     NA     NA     NA     NA     NA     NA     000
Chr2:268801           Chr2  268801  279000   10200      NA     NA     NA     NA     NA 0.7469     NA     002
Chr2:279001           Chr2  279001  289200   10200      NA     NA     NA     NA     NA     NA     NA     000
Chr2:289201           Chr2  289201  293700    4500      NA     NA     NA     NA     NA 0.6511     NA     002
Chr2:293701           Chr2  293701  425900  132200      NA     NA     NA     NA     NA     NA     NA     000
Chr2:425901           Chr2  425901  426100     200      NA     NA     NA     NA     NA 0.5515     NA     002
Chr2:426101           Chr2  426101  434000    7900      NA     NA 0.5617     NA     NA 0.5515     NA     022
Chr2:434001           Chr2  434001  434100     100      NA     NA 0.5617     NA     NA     NA     NA     020
Chr2:434101           Chr2  434101  468300   34200      NA     NA     NA     NA     NA     NA     NA     000
Chr2:468301           Chr2  468301  472800    4500 0.71522     NA     NA     NA     NA     NA     NA     100
Chr2:472801           Chr2  472801  475000    2200 0.71522     NA 0.3511     NA     NA 0.4296     NA     122
Chr2:475001           Chr2  475001  475600     600 0.71522     NA     NA     NA     NA 0.4296     NA     102
Chr2:475601           Chr2  475601  475700     100      NA     NA     NA     NA     NA 0.4296     NA     002
Chr2:475701           Chr2  475701  667700  192000      NA     NA     NA     NA     NA     NA     NA     000
Chr2:667701           Chr2  667701  667900     200      NA     NA     NA 0.7203     NA     NA     NA     010
Chr2:667901           Chr2  667901  668500     600 0.71379 0.6655     NA 0.7203     NA     NA     NA     150
Chr2:668501           Chr2  668501  675200    6700 0.71379 0.6655     NA 0.7203 0.6996     NA     NA     154
Chr2:675201           Chr2  675201  676500    1300 0.71379 0.6655     NA     NA 0.6996     NA     NA     144
Chr2:676501           Chr2  676501 1082200  405700      NA     NA     NA     NA     NA     NA     NA     000
Chr2:1082201          Chr2 1082201 1084000    1800      NA     NA 0.3981     NA     NA 0.3720     NA     022
Chr2:1084001          Chr2 1084001 1462800  378800      NA     NA     NA     NA     NA     NA     NA     000
Chr2:1462801          Chr2 1462801 1465100    2300      NA     NA 0.6423     NA     NA     NA     NA     020
Chr2:1465101          Chr2 1465101 1615300  150200      NA     NA     NA     NA     NA     NA     NA     000
Chr2:1615301          Chr2 1615301 1621100    5800      NA 0.7214     NA     NA     NA     NA     NA     040
Chr2:1621101          Chr2 1621101 1913800  292700      NA     NA     NA     NA     NA     NA     NA     000
Chr2:1913801          Chr2 1913801 1914100     300      NA 0.5265     NA 0.6621     NA 0.4261     NA     052
Chr2:1914101          Chr2 1914101 1915300    1200      NA 0.5265 0.3432 0.6621     NA 0.4261     NA     072
Chr2:1915301          Chr2 1915301 1915800     500      NA 0.5265     NA 0.6621     NA 0.4261     NA     052
Chr2:1915801          Chr2 1915801 1915900     100      NA     NA     NA     NA     NA 0.4261     NA     002
Chr2:1915901          Chr2 1915901 2139100  223200      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2139101          Chr2 2139101 2143000    3900      NA 0.6487     NA     NA     NA     NA     NA     040
Chr2:2143001          Chr2 2143001 2197000   54000      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2197001          Chr2 2197001 2217300   20300      NA     NA     NA 0.6602     NA     NA     NA     010
Chr2:2217301          Chr2 2217301 2226700    9400 0.59088 0.5760     NA 0.6602     NA     NA     NA     150
Chr2:2226701          Chr2 2226701 2282900   56200 0.59088 0.5760     NA     NA     NA     NA     NA     140
Chr2:2282901          Chr2 2282901 2293100   10200      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2293101          Chr2 2293101 2330600   37500 0.68833 0.6616     NA     NA     NA     NA     NA     140
Chr2:2330601          Chr2 2330601 2347700   17100      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2347701          Chr2 2347701 2348100     400      NA 0.5763     NA     NA     NA     NA     NA     040
Chr2:2348101          Chr2 2348101 2399100   51000 0.60363 0.5763     NA     NA     NA     NA     NA     140
Chr2:2399101          Chr2 2399101 2444600   45500 0.60363 0.5763     NA     NA     NA     NA 0.5518     141
Chr2:2444601          Chr2 2444601 2444700     100 0.60363     NA     NA     NA     NA     NA 0.5518     101
Chr2:2444701          Chr2 2444701 2446700    2000 0.60363     NA     NA     NA     NA     NA     NA     100
Chr2:2446701          Chr2 2446701 2447800    1100      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2447801          Chr2 2447801 2448100     300      NA     NA     NA     NA     NA 0.4223     NA     002
Chr2:2448101          Chr2 2448101 2448600     500 0.61648 0.6169     NA     NA     NA 0.4223 0.5651     143
Chr2:2448601          Chr2 2448601 2555700  107100 0.61648 0.6169     NA     NA     NA     NA 0.5651     141
Chr2:2555701          Chr2 2555701 2576700   21000 0.61648 0.6169     NA     NA 0.6481     NA 0.5651     145
Chr2:2576701          Chr2 2576701 2582000    5300      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2582001          Chr2 2582001 2582100     100 0.62880 0.6368     NA     NA     NA     NA     NA     140
Chr2:2582101          Chr2 2582101 2594100   12000 0.62880 0.6368     NA 0.7112 0.6059     NA 0.5982     155
Chr2:2594101          Chr2 2594101 2597700    3600 0.62880 0.6368     NA 0.7112 0.6059 0.7381 0.5982     157
Chr2:2597701          Chr2 2597701 2635300   37600 0.62880 0.6368     NA 0.7112 0.6059     NA 0.5982     155
Chr2:2635301          Chr2 2635301 2638000    2700      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2638001          Chr2 2638001 2638100     100      NA     NA     NA     NA 0.6597     NA     NA     004
Chr2:2638101          Chr2 2638101 2648900   10800 0.70228 0.7222     NA     NA 0.6597     NA 0.6038     145
Chr2:2648901          Chr2 2648901 2650900    2000 0.70228     NA     NA     NA 0.6597     NA     NA     104
Chr2:2650901          Chr2 2650901 2651200     300 0.70228     NA     NA     NA 0.6597     NA 0.6246     105
Chr2:2651201          Chr2 2651201 2665200   14000 0.70228 0.6822     NA     NA 0.6597     NA 0.6246     145
Chr2:2665201          Chr2 2665201 2676900   11700      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2676901          Chr2 2676901 2677000     100 0.71725     NA     NA 0.7482     NA     NA     NA     110
Chr2:2677001          Chr2 2677001 2699300   22300 0.71725     NA     NA 0.7482 0.6670     NA 0.6544     115
Chr2:2699301          Chr2 2699301 2699600     300 0.71725     NA     NA 0.7482     NA     NA 0.6544     111
Chr2:2699601          Chr2 2699601 2699800     200 0.71725     NA     NA     NA     NA     NA 0.6544     101
Chr2:2699801          Chr2 2699801 2706700    6900      NA     NA     NA     NA     NA     NA     NA     000
Chr2:2706701          Chr2 2706701 2707194     494      NA     NA 0.1659     NA     NA     NA     NA     020
Chr2:2707195          Chr2 2707195 2707200       6      NA     NA 0.1659     NA     NA     NA     NA     020
Chr2:2707201          Chr2 2707201 2707200       0      NA     NA     NA     NA     NA     NA     NA     000
Chr20:1              Chr20       1    1500    1500      NA     NA     NA     NA 0.3054     NA     NA     004
Chr20:1501           Chr20    1501   20500   19000      NA     NA     NA     NA     NA     NA     NA     000
Chr20:20501          Chr20   20501   23400    2900      NA     NA     NA     NA     NA 0.6033     NA     002
Chr20:23401          Chr20   23401   23600     200      NA     NA     NA     NA     NA     NA     NA     000
Chr20:23601          Chr20   23601   24300     700      NA     NA 0.6289     NA     NA     NA     NA     020
Chr20:24301          Chr20   24301   25500    1200      NA     NA 0.6289     NA     NA 0.4079     NA     022
Chr20:25501          Chr20   25501   28600    3100      NA     NA 0.6289     NA     NA     NA     NA     020
Chr20:28601          Chr20   28601   34400    5800      NA     NA     NA     NA     NA     NA     NA     000
Chr20:34401          Chr20   34401   35300     900      NA     NA 0.1587     NA     NA     NA     NA     020
Chr20:35301          Chr20   35301  127100   91800      NA     NA     NA     NA     NA     NA     NA     000
Chr20:127101         Chr20  127101  128400    1300      NA 0.7027     NA     NA     NA     NA     NA     040
Chr20:128401         Chr20  128401  130200    1800      NA 0.7027 0.4813     NA     NA 0.4302     NA     062
Chr20:130201         Chr20  130201  130400     200      NA     NA 0.4813     NA     NA 0.4302     NA     022
Chr20:130401         Chr20  130401  130600     200      NA     NA     NA     NA     NA 0.4302     NA     002
Chr20:130601         Chr20  130601  405800  275200      NA     NA     NA     NA     NA     NA     NA     000
Chr20:405801         Chr20  405801  407600    1800      NA     NA     NA     NA     NA 0.3772     NA     002
Chr20:407601         Chr20  407601  469500   61900      NA     NA     NA     NA     NA     NA     NA     000
Chr20:469501         Chr20  469501  474100    4600      NA     NA     NA     NA     NA 0.7473     NA     002
Chr20:474101         Chr20  474101  486100   12000      NA     NA     NA     NA     NA     NA     NA     000
Chr20:486101         Chr20  486101  486200     100      NA     NA     NA     NA     NA 0.4787     NA     002
Chr20:486201         Chr20  486201  488500    2300 0.56889     NA     NA     NA     NA 0.4787     NA     102
Chr20:488501         Chr20  488501  492400    3900 0.56889     NA     NA     NA     NA     NA     NA     100
Chr20:492401         Chr20  492401  492500     100 0.56889     NA 0.3903     NA     NA     NA     NA     120
Chr20:492501         Chr20  492501  500000    7500 0.56889     NA 0.3903     NA     NA 0.0472     NA     122
Chr20:500001         Chr20  500001  500100     100 0.56889     NA 0.3903     NA     NA     NA     NA     120
Chr20:500101         Chr20  500101  532800   32700 0.56889     NA     NA     NA     NA     NA     NA     100
Chr20:532801         Chr20  532801  533300     500 0.56889     NA 0.6538     NA     NA     NA     NA     120
Chr20:533301         Chr20  533301  553200   19900 0.56889 0.5528 0.6538     NA     NA     NA     NA     160
Chr20:553201         Chr20  553201  553300     100      NA 0.5528 0.6538     NA     NA     NA     NA     060
Chr20:553301         Chr20  553301  564400   11100      NA     NA 0.6538     NA     NA     NA     NA     020
Chr20:564401         Chr20  564401  583100   18700      NA     NA 0.6538     NA     NA     NA 0.5840     021
Chr20:583101         Chr20  583101  591200    8100      NA     NA 0.6538     NA 0.5849     NA 0.5840     025
Chr20:591201         Chr20  591201  592000     800      NA     NA 0.6538     NA     NA     NA     NA     020
Chr20:592001         Chr20  592001  593900    1900      NA     NA 0.6538     NA     NA 0.5975     NA     022
Chr20:593901         Chr20  593901  594200     300      NA     NA 0.6538     NA 0.5324 0.5975     NA     026
Chr20:594201         Chr20  594201  594300     100      NA     NA 0.6538     NA 0.5324 0.5975 0.5990     027
Chr20:594301         Chr20  594301  620200   25900      NA     NA 0.6538     NA 0.5324     NA 0.5990     025
Chr20:620201         Chr20  620201  620300     100      NA     NA     NA     NA 0.5324     NA 0.5990     005
Chr20:620301         Chr20  620301  621600    1300      NA     NA     NA     NA 0.5324     NA     NA     004
Chr20:621601         Chr20  621601  635200   13600 0.00078 0.0010 0.5844 0.0011 0.5324 0.0039 0.5230     177
Chr20:635201         Chr20  635201  635300     100      NA     NA 0.5844     NA 0.5324 0.0039 0.5230     027
Chr20:635301         Chr20  635301  651100   15800      NA     NA 0.5844     NA 0.5324     NA 0.5230     025
Chr20:651101         Chr20  651101  653100    2000      NA     NA 0.5844     NA 0.5324 0.5435 0.5230     027
Chr20:653101         Chr20  653101  720300   67200      NA     NA 0.5844     NA 0.5324     NA 0.5230     025
Chr20:720301         Chr20  720301  720500     200      NA     NA 0.5844     NA 0.5324 0.4959 0.5230     027
Chr20:720501         Chr20  720501  722400    1900 0.60857 0.6822 0.5844     NA 0.5324 0.4959 0.5230     167
Chr20:722401         Chr20  722401  722500     100 0.60857 0.6822 0.5844     NA     NA     NA 0.5230     161
Chr20:722501         Chr20  722501  723200     700      NA 0.6822 0.5844     NA     NA     NA 0.5230     061
Chr20:723201         Chr20  723201  728000    4800      NA     NA 0.5844     NA     NA     NA 0.5230     021
Chr20:728001         Chr20  728001  729800    1800      NA     NA 0.5844     NA     NA     NA     NA     020
Chr20:729801         Chr20  729801  743100   13300      NA     NA 0.5844     NA 0.5500     NA 0.5850     025
Chr20:743101         Chr20  743101  744600    1500      NA     NA 0.5844     NA 0.5500     NA     NA     024
Chr20:744601         Chr20  744601  748600    4000      NA     NA 0.5844     NA 0.5500     NA 0.6687     025
Chr20:748601         Chr20  748601  759500   10900 0.55871 0.5525 0.5844     NA 0.5500     NA 0.6687     165
Chr20:759501         Chr20  759501  762500    3000 0.55871 0.5525 0.5844     NA 0.5500 0.1993 0.6687     167
Chr20:762501         Chr20  762501  762600     100      NA 0.5525 0.5844     NA     NA     NA 0.6687     061
Chr20:762601         Chr20  762601  766000    3400      NA     NA     NA     NA     NA     NA 0.6687     001
Chr20:766001         Chr20  766001  769800    3800      NA     NA     NA     NA     NA     NA     NA     000
Chr20:769801         Chr20  769801  770700     900      NA     NA     NA     NA     NA 0.4119     NA     002
Chr20:770701         Chr20  770701  776900    6200      NA     NA     NA     NA     NA     NA     NA     000
Chr20:776901         Chr20  776901  794800   17900      NA     NA     NA     NA 0.7191     NA     NA     004
Chr20:794801         Chr20  794801  800233    5433      NA     NA     NA     NA     NA     NA     NA     000
Chr20:800234         Chr20  800234  800233       0      NA     NA     NA     NA     NA     NA     NA     000
Chr22:1              Chr22       1   87300   87300      NA     NA     NA     NA     NA     NA     NA     000
Chr22:87301          Chr22   87301   89500    2200      NA     NA 0.3984     NA     NA 0.2582     NA     022
Chr22:89501          Chr22   89501   90100     600      NA     NA 0.3984     NA     NA     NA     NA     020
Chr22:90101          Chr22   90101   90800     700      NA     NA 0.3984     NA     NA 0.4093     NA     022
Chr22:90801          Chr22   90801   93800    3000      NA     NA 0.3984     NA     NA     NA     NA     020
Chr22:93801          Chr22   93801   96700    2900      NA     NA 0.3984     NA     NA 0.2558     NA     022
Chr22:96701          Chr22   96701  231900  135200      NA     NA     NA     NA     NA     NA     NA     000
Chr22:231901         Chr22  231901  232400     500      NA     NA     NA     NA     NA 0.2057     NA     002
Chr22:232401         Chr22  232401  248900   16500      NA     NA     NA     NA     NA     NA     NA     000
Chr22:248901         Chr22  248901  249000     100      NA     NA 0.4203     NA     NA     NA     NA     020
Chr22:249001         Chr22  249001  250400    1400      NA     NA 0.4203     NA     NA 0.3847     NA     022
Chr22:250401         Chr22  250401  250500     100      NA     NA 0.4203     NA     NA     NA     NA     020
Chr22:250501         Chr22  250501  253100    2600      NA     NA     NA     NA     NA     NA     NA     000
Chr22:253101         Chr22  253101  267600   14500      NA     NA 0.4936     NA     NA 0.5487     NA     022
Chr22:267601         Chr22  267601  270600    3000      NA     NA     NA     NA     NA 0.5487     NA     002
Chr22:270601         Chr22  270601  662500  391900      NA     NA     NA     NA     NA     NA     NA     000
Chr22:662501         Chr22  662501  667400    4900      NA     NA 0.6904     NA     NA     NA     NA     020
Chr22:667401         Chr22  667401  667600     200      NA     NA 0.6904 0.7342     NA     NA     NA     030
Chr22:667601         Chr22  667601  672800    5200      NA 0.7449 0.6904 0.7342     NA     NA     NA     070
Chr22:672801         Chr22  672801  672900     100      NA     NA 0.6904 0.7342     NA     NA     NA     030
Chr22:672901         Chr22  672901  681400    8500      NA     NA 0.6904     NA     NA     NA     NA     020
Chr22:681401         Chr22  681401  748700   67300      NA     NA     NA     NA     NA     NA     NA     000
Chr22:748701         Chr22  748701  749500     800      NA     NA     NA     NA     NA 0.3342     NA     002
Chr22:749501         Chr22  749501  958700  209200      NA     NA     NA     NA     NA     NA     NA     000
Chr22:958701         Chr22  958701  959400     700 0.18342     NA     NA     NA     NA     NA     NA     100
Chr22:959401         Chr22  959401 1057564   98164      NA     NA     NA     NA     NA     NA     NA     000
Chr22:1057565        Chr22 1057565 1057564       0      NA     NA     NA     NA     NA     NA     NA     000
Chr23:1              Chr23       1    8900    8900 0.74762 0.7389     NA 0.6936     NA     NA 0.5728     151
Chr23:8901           Chr23    8901    9100     200      NA 0.7389     NA 0.6936     NA     NA 0.5728     051
Chr23:9101           Chr23    9101   96000   86900      NA     NA     NA 0.6936     NA     NA 0.5728     011
Chr23:96001          Chr23   96001  190200   94200      NA     NA     NA 0.6936     NA     NA     NA     010
Chr23:190201         Chr23  190201  305400  115200      NA     NA     NA     NA     NA     NA     NA     000
Chr23:305401         Chr23  305401  307700    2300      NA     NA     NA     NA     NA 0.7365     NA     002
Chr23:307701         Chr23  307701  341700   34000      NA     NA     NA     NA     NA     NA     NA     000
Chr23:341701         Chr23  341701  342300     600      NA     NA     NA     NA     NA 0.1968     NA     002
Chr23:342301         Chr23  342301  444400  102100      NA     NA     NA     NA     NA     NA     NA     000
Chr23:444401         Chr23  444401  447900    3500      NA     NA 0.5290     NA     NA     NA     NA     020
Chr23:447901         Chr23  447901  454953    7053      NA     NA     NA     NA     NA     NA     NA     000
Chr23:454954         Chr23  454954  454953       0      NA     NA     NA     NA     NA     NA     NA     000
Chr24:1              Chr24       1   10900   10900      NA     NA     NA     NA     NA     NA     NA     000
Chr24:10901          Chr24   10901   15100    4200      NA     NA     NA     NA     NA 0.4273     NA     002
Chr24:15101          Chr24   15101   77900   62800      NA     NA     NA     NA     NA     NA     NA     000
Chr24:77901          Chr24   77901   79400    1500      NA 0.5786     NA     NA     NA     NA 0.5683     041
Chr24:79401          Chr24   79401  149800   70400      NA     NA     NA     NA     NA     NA     NA     000
Chr24:149801         Chr24  149801  150700     900      NA     NA     NA     NA     NA 0.1683     NA     002
Chr24:150701         Chr24  150701  173700   23000      NA     NA     NA     NA     NA     NA     NA     000
Chr24:173701         Chr24  173701  175500    1800      NA     NA     NA     NA     NA 0.5089     NA     002
Chr24:175501         Chr24  175501  177800    2300      NA     NA 0.3913     NA     NA 0.5089     NA     022
Chr24:177801         Chr24  177801  281600  103800      NA     NA     NA     NA     NA     NA     NA     000
Chr24:281601         Chr24  281601  281800     200      NA     NA 0.6952     NA     NA     NA     NA     020
Chr24:281801         Chr24  281801  297348   15548      NA     NA 0.6952     NA     NA 0.5821     NA     022
Chr24:297349         Chr24  297349  297400      52      NA     NA 0.6952     NA     NA 0.5821     NA     022
Chr24:297401         Chr24  297401  297400       0      NA     NA     NA     NA     NA     NA     NA     000
Chr3:1                Chr3       1    6400    6400      NA     NA     NA     NA     NA     NA     NA     000
Chr3:6401             Chr3    6401   10000    3600      NA     NA     NA     NA     NA     NA 0.7222     001
Chr3:10001            Chr3   10001   10100     100      NA     NA     NA     NA     NA 0.4076 0.7222     003
Chr3:10101            Chr3   10101   10800     700      NA     NA 0.1528     NA     NA 0.4076 0.7222     023
Chr3:10801            Chr3   10801   10900     100      NA     NA     NA     NA     NA 0.4076 0.7222     003
Chr3:10901            Chr3   10901   98800   87900      NA     NA     NA     NA     NA     NA     NA     000
Chr3:98801            Chr3   98801   99300     500      NA     NA     NA     NA     NA     NA 0.1087     001
Chr3:99301            Chr3   99301  100800    1500      NA     NA     NA     NA     NA     NA     NA     000
Chr3:100801           Chr3  100801  102300    1500      NA     NA     NA     NA     NA 0.4000     NA     002
Chr3:102301           Chr3  102301  425500  323200      NA     NA     NA     NA     NA     NA     NA     000
Chr3:425501           Chr3  425501  426500    1000      NA     NA     NA     NA     NA     NA 0.7451     001
Chr3:426501           Chr3  426501  426600     100      NA     NA     NA     NA 0.5717     NA 0.7451     005
Chr3:426601           Chr3  426601  428200    1600 0.66537     NA     NA     NA 0.5717     NA 0.7451     105
Chr3:428201           Chr3  428201  430000    1800 0.66537     NA     NA     NA     NA     NA 0.7451     101
Chr3:430001           Chr3  430001  902400  472400      NA     NA     NA     NA     NA     NA     NA     000
Chr3:902401           Chr3  902401  908200    5800      NA     NA     NA     NA     NA 0.6913     NA     002
Chr3:908201           Chr3  908201 1272600  364400      NA     NA     NA     NA     NA     NA     NA     000
Chr3:1272601          Chr3 1272601 1273400     800      NA     NA     NA     NA     NA     NA 0.4754     001
Chr3:1273401          Chr3 1273401 1350300   76900      NA     NA     NA     NA     NA     NA     NA     000
Chr3:1350301          Chr3 1350301 1353700    3400      NA     NA 0.6427     NA     NA     NA     NA     020
Chr3:1353701          Chr3 1353701 1523200  169500      NA     NA     NA     NA     NA     NA     NA     000
Chr3:1523201          Chr3 1523201 1525200    2000      NA     NA     NA     NA     NA 0.2122     NA     002
Chr3:1525201          Chr3 1525201 1667500  142300      NA     NA     NA     NA     NA     NA     NA     000
Chr3:1667501          Chr3 1667501 1669300    1800      NA     NA 0.4532     NA     NA     NA     NA     020
Chr3:1669301          Chr3 1669301 1670000     700      NA     NA 0.4532     NA     NA 0.1896     NA     022
Chr3:1670001          Chr3 1670001 1670300     300      NA     NA 0.4532     NA     NA     NA     NA     020
Chr3:1670301          Chr3 1670301 2220700  550400      NA     NA     NA     NA     NA     NA     NA     000
Chr3:2220701          Chr3 2220701 2225500    4800      NA 0.7318     NA     NA     NA     NA     NA     040
Chr3:2225501          Chr3 2225501 2373400  147900      NA     NA     NA     NA     NA     NA     NA     000
Chr3:2373401          Chr3 2373401 2383300    9900      NA     NA 0.5446 0.6834     NA 0.4999     NA     032
Chr3:2383301          Chr3 2383301 2383600     300      NA     NA 0.5446 0.6834     NA     NA     NA     030
Chr3:2383601          Chr3 2383601 2383800     200      NA     NA     NA 0.6834     NA     NA     NA     010
Chr3:2383801          Chr3 2383801 2437800   54000      NA     NA     NA     NA     NA     NA     NA     000
Chr3:2437801          Chr3 2437801 2440051    2251      NA 0.5562     NA     NA     NA     NA     NA     040
Chr3:2440052          Chr3 2440052 2440100      49      NA 0.5562     NA     NA     NA     NA     NA     040
Chr3:2440101          Chr3 2440101 2440100       0      NA     NA     NA     NA     NA     NA     NA     000
Chr4:1                Chr4       1   20500   20500      NA     NA     NA     NA     NA     NA     NA     000
Chr4:20501            Chr4   20501   66700   46200      NA 0.7151     NA     NA     NA     NA     NA     040
Chr4:66701            Chr4   66701   67600     900      NA 0.7151     NA     NA     NA 0.3865     NA     042
Chr4:67601            Chr4   67601   88400   20800      NA 0.7151     NA     NA     NA     NA     NA     040
Chr4:88401            Chr4   88401  408300  319900      NA     NA     NA     NA     NA     NA     NA     000
Chr4:408301           Chr4  408301  410500    2200      NA     NA     NA     NA     NA 0.6633     NA     002
Chr4:410501           Chr4  410501  477800   67300      NA     NA     NA     NA     NA     NA     NA     000
Chr4:477801           Chr4  477801  478600     800      NA     NA     NA     NA     NA 0.2033     NA     002
Chr4:478601           Chr4  478601 1566900 1088300      NA     NA     NA     NA     NA     NA     NA     000
Chr4:1566901          Chr4 1566901 1572600    5700      NA     NA     NA     NA 0.5966     NA     NA     004
Chr4:1572601          Chr4 1572601 2109600  537000      NA     NA     NA     NA     NA     NA     NA     000
Chr4:2109601          Chr4 2109601 2110100     500      NA     NA     NA     NA     NA 0.2168     NA     002
Chr4:2110101          Chr4 2110101 2170100   60000      NA     NA     NA     NA     NA     NA     NA     000
Chr4:2170101          Chr4 2170101 2175500    5400      NA 0.7158     NA     NA     NA     NA     NA     040
Chr4:2175501          Chr4 2175501 2277000  101500      NA     NA     NA     NA     NA     NA     NA     000
Chr4:2277001          Chr4 2277001 2281900    4900      NA     NA 0.6870     NA     NA     NA     NA     020
Chr4:2281901          Chr4 2281901 2399800  117900      NA     NA     NA     NA     NA     NA     NA     000
Chr4:2399801          Chr4 2399801 2402322    2522      NA 0.7070     NA     NA     NA     NA     NA     040
Chr4:2402323          Chr4 2402323 2402400      78      NA 0.7070     NA     NA     NA     NA     NA     040
Chr4:2402401          Chr4 2402401 2402400       0      NA     NA     NA     NA     NA     NA     NA     000
Chr5:1                Chr5       1  138600  138600      NA     NA     NA     NA     NA     NA     NA     000
Chr5:138601           Chr5  138601  184600   46000      NA 0.6067     NA     NA     NA     NA     NA     040
Chr5:184601           Chr5  184601  346400  161800      NA     NA     NA     NA     NA     NA     NA     000
Chr5:346401           Chr5  346401  353000    6600 0.60350     NA     NA     NA     NA     NA     NA     100
Chr5:353001           Chr5  353001  919700  566700      NA     NA     NA     NA     NA     NA     NA     000
Chr5:919701           Chr5  919701  920500     800      NA 0.6989     NA     NA     NA     NA     NA     040
Chr5:920501           Chr5  920501  924700    4200      NA 0.6989     NA     NA     NA 0.5149     NA     042
Chr5:924701           Chr5  924701  926000    1300      NA 0.6989     NA     NA     NA     NA     NA     040
Chr5:926001           Chr5  926001 1323500  397500      NA     NA     NA     NA     NA     NA     NA     000
Chr5:1323501          Chr5 1323501 1330800    7300      NA     NA     NA     NA     NA 0.7200     NA     002
Chr5:1330801          Chr5 1330801 1967700  636900      NA     NA     NA     NA     NA     NA     NA     000
Chr5:1967701          Chr5 1967701 1971700    4000      NA     NA     NA     NA     NA 0.7424     NA     002
Chr5:1971701          Chr5 1971701 1976300    4600      NA     NA     NA     NA     NA     NA     NA     000
Chr5:1976301          Chr5 1976301 1977500    1200      NA     NA     NA     NA     NA     NA 0.5857     001
Chr5:1977501          Chr5 1977501 2049700   72200      NA     NA     NA     NA     NA     NA     NA     000
Chr5:2049701          Chr5 2049701 2053600    3900      NA     NA     NA     NA     NA 0.4930     NA     002
Chr5:2053601          Chr5 2053601 2305971  252371      NA     NA     NA     NA     NA     NA     NA     000
Chr5:2305972          Chr5 2305972 2305971       0      NA     NA     NA     NA     NA     NA     NA     000
Chr6:1                Chr6       1     100     100      NA     NA     NA     NA     NA     NA     NA     000
Chr6:101              Chr6     101     600     500 0.22714     NA     NA     NA 0.1551     NA     NA     104
Chr6:601              Chr6     601    3100    2500      NA     NA     NA     NA     NA     NA     NA     000
Chr6:3101             Chr6    3101    3200     100      NA 0.6326     NA     NA     NA     NA     NA     040
Chr6:3201             Chr6    3201    3300     100      NA 0.6326 0.3177     NA     NA     NA     NA     060
Chr6:3301             Chr6    3301    5500    2200      NA 0.6326 0.3177     NA     NA 0.5983     NA     062
Chr6:5501             Chr6    5501    5600     100      NA 0.6326     NA     NA     NA     NA     NA     040
Chr6:5601             Chr6    5601    9600    4000      NA     NA     NA     NA     NA     NA     NA     000
Chr6:9601             Chr6    9601   28800   19200      NA     NA     NA     NA     NA     NA 0.6078     001
Chr6:28801            Chr6   28801   29000     200      NA     NA     NA 0.7084     NA     NA 0.6078     011
Chr6:29001            Chr6   29001   29900     900      NA     NA 0.6397 0.7084     NA     NA 0.6078     031
Chr6:29901            Chr6   29901  104900   75000      NA     NA 0.6397 0.7084 0.5929     NA 0.6078     035
Chr6:104901           Chr6  104901  105500     600      NA     NA 0.6397 0.7084 0.5929 0.1851 0.6078     037
